ax,ay,az,gx,gy,gz,class_label
0.163724,-0.292068,1.916132,9.59,-12.2675,0.0525,1
0.13542,-0.008052,1.660664,21.2625,-9.835,6.3875,1
-0.093696,-0.249368,0.659776,23.345,10.9375,4.55,1
-0.163968,0.368684,0.538508,17.465,12.5475,6.16,1
-0.109068,0.25498,0.487268,-18.9525,13.2475,-4.3225,1
-0.022692,0.395036,0.36844,-29.8375,6.5975,-5.32,1
0.044896,-0.22448,0.517768,-22.7675,5.18,-5.075,1
0.046116,-0.178608,0.49776,-17.8325,2.5725,-3.2375,1
0.215208,-0.30744,1.713124,0.9275,0.4025,-1.155,1
0.30012,-0.334036,1.977376,16.9575,-17.045,3.0975,1
0.00976,-0.20984,1.065548,33.46,2.03,6.755,1
-0.081984,-0.030012,1.093608,18.0425,2.94,3.745,1
-0.054168,0.300608,0.887184,-0.9975,5.7225,1.645,1
-0.00366,0.045384,0.337208,-8.5575,13.3,-1.925,1
-0.145912,0.245708,0.192028,-9.345,13.3,-0.8575,1
-0.023668,0.00122,0.396012,-24.885,11.725,-6.335,1
0.17812,0.101992,1.178276,-24.43,-10.29,-4.445,1
0.189344,-0.421388,1.493036,-20.335,-12.88,-5.495,1
0.202764,-0.243756,1.457168,11.2875,-13.5625,3.22,1
0.06954,-0.429684,1.560136,26.04,-15.61,3.185,1
-0.014884,-0.148596,0.44286,-22.6275,8.47,-5.5825,1
0.21838,-0.0549,0.307928,-16.1175,8.2775,-2.485,1
0.28304,-0.223748,1.785836,-17.885,-16.4675,-4.3925,1
0.252296,-0.192028,1.659444,-8.54,-16.1875,-0.875,1
0.013908,-0.448472,1.399828,27.9475,-2.87,3.71,1
-0.040992,0.070028,1.227808,5.285,-0.0875,5.25,1
-0.124928,0.0427,1.218536,10.955,1.3825,2.5375,1
-0.199592,0.155672,0.302072,-2.065,14.5075,1.82,1
-0.117852,0.216916,0.22814,-23.45,15.4,0.175,1
0.16226,0.26596,0.266936,-36.1725,13.9475,-7.1575,1
0.101016,0.139324,0.914024,-21.1925,-5.39,-4.655,1
0.211792,-0.432856,1.130208,0.0175,-9.66,-7.0175,1
0.19154,-0.351116,1.170712,17.745,-9.835,2.555,1
0.140788,-0.398452,1.906128,6.44,-12.11,0.6125,1
0.122732,0.000488,1.589416,24.29,-9.1,3.745,1
