ax,ay,az,gx,gy,gz,class_label
0.016836,-0.1647,1.371524,-7.28,-17.2025,0.6475,3
-0.023912,-0.431148,1.589416,30.94,-16.8875,6.7025,3
-0.181292,-0.457988,1.245132,30.275,-21.175,-3.605,3
-0.346236,-0.348432,1.1773,30.03,-4.795,5.04,3
-0.172996,0.210816,1.095072,-11.9525,-10.745,-4.76,3
0.150304,0.25132,1.003328,-6.1775,1.6975,-0.595,3
0.15006,0.28914,0.395768,-21.035,17.2725,-7.7,3
0.227652,0.101016,0.379176,-23.695,29.54,-0.4375,3
0.240096,0.130052,0.394792,-33.81,17.7625,-1.89,3
0.228628,-0.010736,1.22732,-18.4625,-2.4325,5.6,3
0.1952,-0.584136,1.319552,20.4225,-12.2675,-0.8925,3
-0.255224,-0.543144,1.355664,32.69,-8.89,4.585,3
-0.200324,-0.585112,1.611864,25.9,-23.0125,2.205,3
-0.279136,-0.000976,1.341756,18.3575,-18.13,4.095,3
-0.149572,0.081008,1.487668,5.3725,-19.5475,-2.7125,3
0.079544,0.121756,0.481168,9.8525,18.515,-5.7575,3
-0.063928,0.278648,0.489952,-4.48,18.8825,-4.1125,3
0.305732,0.330132,0.740296,-35.07,13.2825,-3.99,3
0.2806,-0.344772,0.864736,2.6425,8.8025,0.595,3
-0.047092,-0.343796,0.899628,1.6975,7.9975,0.3675,3
-0.127856,-0.41602,1.593564,10.7975,-19.8275,9.24,3
-0.13054,-0.38186,1.557696,25.7775,-26.3025,-0.035,3
-0.216184,-0.266692,1.584536,34.2475,-19.0225,4.0075,3
-0.147864,-0.245708,0.909876,19.8275,-5.8625,-5.565,3
0.277672,0.340868,0.40748,-13.475,12.25,-2.1525,3
0.206912,0.324764,0.519232,-31.1325,17.1325,-5.705,3
0.328668,-0.001952,0.508008,-18.2175,21.7,-1.47,3
0.135176,-0.13054,0.633424,-17.325,14.805,3.465,3
0.017324,-0.137128,1.332972,-8.82,-14.7875,2.1175,3
0.05978,-0.435296,1.585756,28.28,-16.5725,4.2175,3
-0.187392,-0.48312,1.41398,32.1125,-19.04,-2.905,3
-0.352092,-0.376004,1.265872,28.9625,-8.1725,4.6725,3
-0.189588,0.138348,1.143872,-5.6875,-12.565,-3.92,3
0.093452,0.254248,1.109956,-4.83,-2.8525,-0.8575,3
0.150548,0.24156,0.373564,-14.4025,17.745,-7.98,3
0.152256,0.110776,0.351848,-25.69,30.415,-0.7525,3
0.251076,0.212036,0.370636,-36.995,18.4975,-2.9925,3
0.270352,0.031964,1.174372,-21.9625,1.1025,5.11,3
0.185684,-0.576816,1.221952,-31.3775,-8.8025,-1.8725,3
0.194468,-0.534116,1.323944,29.12,-6.335,6.545,3
-0.172996,-0.095892,1.639924,16.4675,-24.7275,1.5925,3
-0.035624,-0.05734,1.38836,23.45,-18.41,-3.9025,3
-0.1647,0.00244,0.673196,8.6975,10.57,-3.535,3
0.052948,0.351848,0.541436,-30.065,18.2525,-3.9025,3
0.271328,0.325008,0.55754,-34.755,13.615,-1.75,3
0.327936,0.30866,0.673196,-31.0625,16.975,-3.71,3
0.270352,-0.303048,0.797636,-37.3625,9.87,-0.945,3
-0.003904,-0.282308,0.830332,-1.3825,11.34,0.1225,3
-0.095648,-0.395036,1.592344,36.855,-18.515,8.6975,3
-0.197396,-0.42456,1.487912,26.775,-24.9375,-4.2175,3
-0.244732,-0.309636,0.974536,35.07,2.52,5.04,3
-0.14152,0.279136,0.952332,-20.7725,-6.4575,-5.355,3
0.258884,0.288164,0.798612,-10.2025,9.8525,-1.435,3
0.187392,0.33916,0.485804,-29.82,17.5175,-6.5275,3
0.319884,0.014152,0.488,-19.1975,23.2225,-0.735,3
0.174948,-0.089548,0.565104,-21.14,15.3125,2.0825,3
0.039528,-0.105896,1.28588,-10.3425,-11.7425,3.43,3
0.102236,-0.48922,1.55306,-12.495,-16.7125,2.73,3
-0.027084,-0.506544,1.393972,32.69,-16.555,-1.47,3
-0.329888,-0.440176,1.369084,28.805,-12.95,4.2,3
-0.205448,0.124928,1.19194,35.5425,-13.6675,-2.3625,3
-0.321104,0.230092,1.234152,-2.8525,-8.1725,-1.085,3
0.05246,-0.339648,1.60918,-5.0225,-23.1,1.9775,3
-0.115412,-0.461648,1.511336,37.87,-19.81,7.6125,3
-0.296216,-0.401136,1.673108,27.6675,-25.795,0.9975,3
-0.202276,-0.356728,1.028216,36.855,-6.4575,-1.19,3
-0.26596,0.292556,1.10044,-13.195,-4.41,-0.56,3
0.226188,0.29524,0.86864,-13.16,1.295,-6.65,3
0.118828,0.31354,0.392596,-21.3675,24.6225,-3.3425,3
0.28182,0.152012,0.405528,-31.3775,24.605,-5.775,3
0.22082,-0.023424,0.476532,-23.9925,20.7025,4.7775,3
0.161284,0.033672,1.254404,-23.8875,-8.015,-1.12,3
-0.266448,-0.522404,1.382748,29.995,-10.5525,8.9425,3
-0.185928,-0.548268,1.47132,25.9,-25.3925,-1.225,3
-0.292312,0.000732,1.386164,21.1225,-12.565,8.3125,3
-0.051972,0.0366,1.339072,1.9075,-22.1025,-7.0875,3
0.071492,0.112484,0.460672,11.9525,23.905,-0.525,3
0.038796,0.282308,0.513864,-37.5025,13.3,-7.1575,3
0.306464,0.238876,0.396012,-27.93,26.285,-0.875,3
0.28914,0.204472,0.99308,-36.1375,5.0575,-1.4875,3
0.261324,-0.375272,0.98698,9.5375,3.43,1.015,3
-0.185928,-0.43554,1.207312,10.99,-2.1875,6.6325,3
