ax,ay,az,gx,gy,gz,class_label
0.255468,-0.35136,0.660508,3.01,6.58,-0.4025,2
0.288408,-0.236924,1.140944,1.8025,-11.7425,-0.1575,2
0.304024,-0.195688,1.35786,23.835,-9.1,0.7875,2
0.065148,-0.079544,1.272948,12.495,-12.355,4.76,2
0.055632,-0.136152,1.239032,21.665,0.455,5.39,2
-0.215208,0.256688,0.808372,-17.85,-0.98,-3.7275,2
-0.210328,0.198616,0.619028,-6.5975,10.92,-1.4,2
0.080032,-0.122732,0.732976,-17.7275,8.8375,-5.635,2
0.022936,-0.288408,0.65392,14.35,-2.1,2.9925,2
0.315736,-0.382348,1.590392,11.725,-9.66,2.59,2
0.276452,0.065148,1.364204,18.5325,-11.445,4.375,2
0.26352,-0.071248,1.592832,11.76,-8.365,3.2375,2
-0.105896,0.13176,1.14192,3.8675,3.5525,3.4475,2
-0.053924,0.130784,1.020164,6.4225,8.8375,2.1175,2
-0.1586,0.27572,1.032608,-26.9325,5.7225,-6.8425,2
-0.104676,0.08784,0.57218,-15.9775,10.6225,-4.7075,2
-0.116388,0.23058,0.58316,-27.5975,4.5325,-7.245,2
-0.066856,-0.285236,0.590968,9.975,7.0525,0.6125,2
0.350872,-0.354044,1.32248,-1.785,1.9075,-0.8225,2
0.28182,-0.328424,1.149972,15.12,-9.905,1.8025,2
0.372344,-0.149816,1.484984,10.2725,-11.8825,3.605,2
0.029036,-0.030256,1.170224,23.1,-10.395,6.58,2
0.04758,-0.105896,1.355908,7.91,1.3825,2.9575,2
-0.021228,0.372588,1.11874,-14.5775,1.2075,-2.345,2
-0.151036,0.121268,0.687104,-16.1525,4.4275,-4.2525,2
-0.256688,0.363072,0.591212,-17.955,7.3325,-3.885,2
-0.119316,-0.228384,0.655384,-4.69,11.025,-5.495,2
0.147864,-0.081496,0.835456,-11.62,6.265,-3.5875,2
0.169092,-0.282552,0.950624,-0.2625,-4.7075,-1.8375,2
0.225212,-0.233264,0.984296,10.885,-9.9575,-2.17,2
0.15982,-0.247416,1.12606,25.445,-7.035,5.67,2
