accel_x,accel_y,accel_z,label
-0.717847,-8.210971,-1.616352,3
2.816352,-6.228518,2.348555,3
3.48395,-10.22334,-0.819542,3
-0.386441,-12.26561,-3.265007,3
-2.799603,-14.7027,-4.191029,3
-2.086541,-10.44108,-0.013161,3
-0.661615,-8.133204,1.586441,3
0.5001,-9.32483,-2.215754,3
-2.236093,-9.57488,-1.079163,3
-0.198604,-7.482357,-1.240679,3
0.89013,-6.872187,2.158326,3
3.543771,-11.0333,-2.266003,3
-0.81356,-12.64248,-3.784249,3
-2.745764,-14.14398,-1.375873,3
-2.42034,-9.956535,2.069792,3
0.653241,-7.856833,1.444068,3
0.654437,-10.42792,-2.825924,3
-1.511068,-8.879765,-0.728615,3
0.318245,-7.037292,1.166501,3
1.707279,-7.170093,2.472982,3
2.512464,-11.78106,-2.859423,3
-0.302692,-13.23231,-4.366901,3
-1.935793,-14.43351,-1.022932,3
-2.196611,-8.580662,3.768696,3
1.823331,-8.245667,0.630509,3
-0.303888,-10.64926,-3.337988,3
-1.478764,-8.617751,-0.631705,3
0.401994,-6.530013,1.573281,3
2.709872,-7.093523,1.652244,3
1.913062,-12.58864,-3.56052,3
-0.008375,-13.34358,-3.836891,3
-2.598605,-14.01955,-1.266999,3
-1.487139,-8.712268,3.09392,3
1.062413,-8.487342,1.735993,3
-0.398405,-10.7342,-4.017549,3
-1.647458,-8.630911,-0.185444,3
0.437887,-5.752346,1.534996,3
2.659622,-7.546962,1.426122,3
2.720639,-11.77987,-3.370291,3
-0.59342,-13.26102,-3.75075,3
-2.740978,-13.77069,-1.294517,3
-0.116052,-9.899107,3.105884,3
0.892523,-8.550752,1.82692,3
-0.443869,-10.22334,-3.828516,3
-2.652444,-8.380861,-0.007178,3
0.661615,-6.242875,1.706082,3
2.07697,-7.203593,1.823331,3
2.490928,-11.15654,-2.866601,3
-2.333002,-13.17608,-3.863212,3
-1.709672,-13.89632,-2.469393,3
-0.939183,-10.15514,3.275774,3
-0.25005,-8.157133,1.501496,3
-0.881755,-10.79402,-3.646662,3
-2.209772,-8.377273,-0.349352,3
-0.825524,-6.648458,2.097309,3
1.663012,-6.320641,2.238486,3
2.248057,-11.21516,-3.079563,3
-1.241875,-12.28954,-4.065406,3
-2.28036,-14.21576,-2.164308,3
-1.988436,-10.50808,2.318645,3
-0.605384,-8.752945,1.217947,3
-0.083749,-10.56551,-3.884748,3
-1.737189,-9.243474,-0.192622,3
-1.633101,-6.96431,2.098505,3
1.739582,-6.909276,2.154737,3
3.035296,-10.8682,-2.214557,3
-0.620938,-12.134,-3.45045,3
-3.059224,-14.22533,-2.618945,3
-0.355334,-11.46401,1.426122,3
-0.687937,-9.217153,1.782653,3
0.133998,-10.51765,-3.565306,3
-2.21695,-9.450453,-0.454636,3
-1.391426,-6.661619,1.868794,3
1.814956,-6.9009,2.377269,3
3.549752,-10.35733,-2.282753,3
-1.538585,-11.1003,-2.959922,3
-2.56391,-14.11406,-2.608176,3
-0.97029,-12.67359,1.391426,3
-0.476172,-8.513663,1.519442,3
-0.902094,-10.54756,-3.832105,3
-1.84367,-10.59661,-0.464208,3
-1.225125,-7.141379,1.25025,3
0.771685,-5.17089,2.176272,3
3.042474,-9.253046,-1.312463,3
-1.086341,-11.17688,-3.396612,3
-2.480161,-14.18944,-2.98385,3
-2.152344,-12.89612,0.732204,3
0.07657,-8.367702,1.060021,3
0.223729,-10.69233,-2.891726,3
-1.160519,-11.64587,-1.050449,3
-1.905883,-6.171089,0.484547,3
0.881755,-4.692325,2.919244,3
3.854837,-10.10369,-0.817149,3
-0.090927,-11.17329,-3.286542,3
-2.489732,-12.85305,-3.190829,3
-0.283549,-12.85903,0.27996,3
-0.07657,-9.938589,1.142573,3
-0.756132,-9.663414,-1.631905,3
-0.597009,-11.58246,-2.993421,3
-3.244668,-8.242078,0.318245,3
0.975075,-3.638287,4.019942,3
2.295913,-6.994221,0.735793,3
-0.088534,-12.07777,-3.809374,3
-1.925026,-13.25265,-3.744768,3
-0.524028,-13.53141,0.941576,3
0.106481,-9.622736,1.210768,3
-0.384048,-10.3693,-2.228914,3
-1.275375,-11.85165,-2.002793,3
-2.294717,-8.003992,1.469193,3
1.4668,-3.667001,3.302095,3
3.537788,-9.809377,-0.7334,3
-0.863809,-11.17688,-3.156133,3
-1.100698,-12.9033,-2.973082,3
1.081556,-13.74437,0.82672,3
-0.403191,-9.656236,1.365105,3
-0.272782,-10.99741,-3.433701,3
-0.692722,-11.1697,-1.654637,3
-1.861616,-7.161718,1.603191,3
1.133002,-4.805984,2.721836,3
3.743571,-9.830912,-1.219143,3
-0.34337,-10.93879,-3.225525,3
-1.162912,-13.14377,-3.353541,3
1.049253,-13.0684,0.467797,3
-0.878166,-9.458828,0.929612,3
-0.76331,-11.27498,-4.194618,3
-1.651048,-11.6028,-1.469193,3
-2.285146,-7.185647,1.268196,3
1.408176,-5.166104,2.171487,3
2.939583,-9.993624,-1.534996,3
-0.403191,-10.49731,-3.466003,3
-1.655833,-13.20958,-2.340181,3
0.585045,-12.95714,0.943969,3
-1.336391,-8.970692,1.773082,3
-1.494318,-11.66142,-3.766303,3
-1.87358,-9.754342,-0.518046,3
-1.277767,-5.785845,3.464807,3
2.882155,-5.897111,1.859223,3
3.692126,-11.19961,-3.379862,3
-1.121037,-11.09552,-2.792424,3
-0.58026,-11.61476,0.196211,3
2.57707,-12.04906,1.125823,3
-1.743171,-10.85025,0.887737,3
0.184247,-11.64228,-3.018546,3
-2.405983,-10.28555,-0.34337,3
0.629312,-3.608377,4.561916,3
3.851248,-6.646065,0.575474,3
3.078367,-10.91606,-4.444668,3
-0.552742,-11.12064,-2.54716,3
-0.051446,-12.51925,0.081356,3
0.790828,-11.08116,-0.272782,3
-1.048056,-10.72942,-1.847259,3
-0.125623,-13.31606,-3.558127,3
-3.207579,-8.573483,0.544367,3
0.848256,-2.852245,3.419343,3
2.353341,-7.879565,-0.776471,3
-0.430708,-10.41596,-4.275974,3
-0.842274,-10.99981,-3.129812,3
-0.721436,-13.33281,0.172283,3
-0.27996,-9.722038,0.803988,3
-0.708275,-10.81556,-3.489932,3
-1.995614,-12.78724,-2.070988,3
-2.724229,-7.758727,1.087538,3
0.617348,-4.533203,2.592623,3
2.666801,-9.113065,-1.508675,3
-1.397408,-9.104691,-2.262414,3
-1.056431,-11.44248,-2.440679,3
1.587638,-13.44288,0.598206,3
-0.792024,-10.78684,2.051846,3
-0.989432,-12.1352,-3.521038,3
-1.607977,-11.44726,-0.92363,3
-1.722832,-7.77787,2.864209,3
1.603191,-5.516652,1.485943,3
3.189633,-9.968499,-1.533799,3
-0.951147,-9.165707,-2.097309,3
